"®M¥ó","¸ô®|","ª©¥»"
"assertthat","C:/Users/user/Documents/R/win-library/3.5","0.2.0"
"babynames","C:/Users/user/Documents/R/win-library/3.5","0.3.0"
"backports","C:/Users/user/Documents/R/win-library/3.5","1.1.2"
"base","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"base64enc","C:/Users/user/Documents/R/win-library/3.5","0.1-3"
"BH","C:/Users/user/Documents/R/win-library/3.5","1.66.0-1"
"bindr","C:/Users/user/Documents/R/win-library/3.5","0.1.1"
"bindrcpp","C:/Users/user/Documents/R/win-library/3.5","0.2.2"
"bitops","C:/Users/user/Documents/R/win-library/3.5","1.0-6"
"bookdown","C:/Users/user/Documents/R/win-library/3.5","0.7"
"boot","C:/Users/user/Documents/R/win-library/3.5","1.3-20"
"caTools","C:/Users/user/Documents/R/win-library/3.5","1.17.1.1"
"class","C:/Users/user/Documents/R/win-library/3.5","7.3-14"
"cli","C:/Users/user/Documents/R/win-library/3.5","1.0.1"
"cluster","C:/Users/user/Documents/R/win-library/3.5","2.0.7-1"
"codetools","C:/Users/user/Documents/R/win-library/3.5","0.2-15"
"colorspace","C:/Users/user/Documents/R/win-library/3.5","1.3-2"
"compiler","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"crayon","C:/Users/user/Documents/R/win-library/3.5","1.3.4"
"crosstalk","C:/Users/user/Documents/R/win-library/3.5","1.1.0.1"
"curl","C:/Users/user/Documents/R/win-library/3.5","3.2"
"datasets","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"devtools","C:/Users/user/Documents/R/win-library/3.5","1.13.6"
"digest","C:/Users/user/Documents/R/win-library/3.5","0.6.18"
"dplyr","C:/Users/user/Documents/R/win-library/3.5","0.7.6"
"DT","C:/Users/user/Documents/R/win-library/3.5","0.16"
"evaluate","C:/Users/user/Documents/R/win-library/3.5","0.12"
"fansi","C:/Users/user/Documents/R/win-library/3.5","0.4.0"
"foreign","C:/Users/user/Documents/R/win-library/3.5","0.8-71"
"generics","C:/Users/user/Documents/R/win-library/3.5","0.0.1"
"ggplot2","C:/Users/user/Documents/R/win-library/3.5","3.0.0"
"git2r","C:/Users/user/Documents/R/win-library/3.5","0.23.0"
"glue","C:/Users/user/Documents/R/win-library/3.5","1.3.0"
"graphics","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"grDevices","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"grid","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"gtable","C:/Users/user/Documents/R/win-library/3.5","0.2.0"
"highr","C:/Users/user/Documents/R/win-library/3.5","0.7"
"htmltools","C:/Users/user/Documents/R/win-library/3.5","0.3.6"
"htmlwidgets","C:/Users/user/Documents/R/win-library/3.5","1.5.3"
"httpuv","C:/Users/user/Documents/R/win-library/3.5","1.4.5"
"httr","C:/Users/user/Documents/R/win-library/3.5","1.3.1"
"igraph","C:/Users/user/Documents/R/win-library/3.5","1.2.2"
"jsonlite","C:/Users/user/Documents/R/win-library/3.5","1.5"
"KernSmooth","C:/Users/user/Documents/R/win-library/3.5","2.23-15"
"knitr","C:/Users/user/Documents/R/win-library/3.5","1.20"
"labeling","C:/Users/user/Documents/R/win-library/3.5","0.3"
"later","C:/Users/user/Documents/R/win-library/3.5","0.7.5"
"lattice","C:/Users/user/Documents/R/win-library/3.5","0.20-35"
"lazyeval","C:/Users/user/Documents/R/win-library/3.5","0.2.1"
"magrittr","C:/Users/user/Documents/R/win-library/3.5","1.5"
"markdown","C:/Users/user/Documents/R/win-library/3.5","0.8"
"MASS","C:/Users/user/Documents/R/win-library/3.5","7.3-50"
"Matrix","C:/Users/user/Documents/R/win-library/3.5","1.2-14"
"memoise","C:/Users/user/Documents/R/win-library/3.5","1.1.0"
"methods","C:/Users/user/Documents/R/win-library/3.5","3.5.1"
"mgcv","C:/Users/user/Documents/R/win-library/3.5","1.8-24"
"mime","C:/Users/user/Documents/R/win-library/3.5","0.6"
"miniCRAN","C:/Users/user/Documents/R/win-library/3.5","0.2.11"
"munsell","C:/Users/user/Documents/R/win-library/3.5","0.5.0"
"nlme","C:/Users/user/Documents/R/win-library/3.5","3.1-137"
"nnet","C:/Users/user/Documents/R/win-library/3.5","7.3-12"
"openssl","C:/Users/user/Documents/R/win-library/3.5","1.0.2"
